spell,old20,bnc,subtlex
a/c,1.95,14,0
aas,1.55,9,1
aback,1.85,327,15
abaft,2,8,2
aband,1.95,0,0
abase,1.7,6,2
abased,1.75,6,0
abashed,1.85,57,0
abate,1.75,69,5
abates,1.75,9,2
abayed,1.85,0,0
abbé,2.2,0,27
abbear,2.55,0,0
abbears,2.7,0,0
abbens,2.25,0,0
abbés,2.35,0,0
abbess,2.25,57,1
abbey,1.95,1942,45
abbeys,2.45,84,0
abbot,1.95,588,18
abbots,2.15,119,0
abchaim,3,0,0
abduct,2.4,32,36
abeam,1.95,16,7
abects,1.95,0,0
abed,1.7,23,6
abeme,2.05,0,0
abents,1.8,0,0
abests,1.9,0,0
abet,1.85,17,5
abhor,2.2,43,12
abhorred,2.85,45,7
abhors,2.3,23,4
abide,1.7,315,133
abides,1.75,15,4
abik,2,0,0
abject,2.25,120,17
abjure,2.3,16,1
abjured,2.25,12,0
ablaze,2,167,20
able,1.5,30410,8048
abler,1.95,5,1
ablest,2,44,2
ablobs,1.95,0,0
ably,1.9,99,9
abme,1.9,0,0
abne,1.9,0,0
abo,1.8,43,5
aboard,2.15,966,1335
abode,1.75,165,33
abodes,1.8,10,0
abone,1.75,0,0
abones,1.85,0,0
abort,1.9,106,117
aborts,1.95,7,1
abound,1.85,278,18
abounds,2.05,78,10
about,1.9,197116,179962
above,1.95,25748,2350
abow,1.8,0,0
abrade,1.9,9,1
abran,1.95,0,0
abrass,1.95,0,0
abrast,1.95,0,0
abre,1.8,0,0
abreast,2.65,196,26
abreeves,2.8,0,0
abridge,2.2,15,1
abridged,2.35,55,7
abroad,2.4,3941,248
abroths,2.7,0,0
abrupt,2.75,499,56
abrush,2.25,0,0
abscess,2.75,50,23
abscond,2.8,24,5
absconds,2.8,5,0
abscrict,3.55,0,0
abscue,2.8,0,0
abscued,2.75,0,0
abscusts,2.9,0,0
absence,2.6,5780,314
absent,1.9,1567,117
absents,2,3,0
absians,2.8,0,0
absidge,2.65,0,0
absigned,2.7,0,0
absincts,3.05,0,0
absipsed,3.2,0,0
absirl,2.9,0,0
abslete,2.85,0,0
absletes,2.95,0,0
absolve,2.6,45,27
absolved,2.65,85,15
absolves,2.7,10,4
absorb,2.6,809,99
absorbed,2.65,1559,74
absorbs,2.7,168,24
absord,2.25,0,0
absords,2.5,0,0
absost,2.35,0,0
absosts,2.6,0,0
absount,2.75,0,0
absounts,2.8,0,0
abstain,2.6,129,18
abstained,2.55,112,4
abstract,2.7,2220,104
abstracts,2.7,163,5
abstrade,2.8,0,0
abstrides,2.85,0,0
abstruse,3.3,40,3
abstuened,3.6,0,0
abstuent,3,0,0
absurd,2.55,966,467
absuse,2.2,0,0
absused,2.25,0,0
abud,1.9,0,0
abuse,1.8,3597,503
abused,1.75,747,226
abusts,1.9,0,0
abvid,2.15,0,0
abwipt,2.95,0,0
abyss,2.2,150,77
acaned,1.95,0,0
acax,2,0,0
accar,2.2,0,0
accars,2.3,0,0
accede,2.15,100,7
accedes,2.3,6,0
accent,1.85,1442,595
accents,1.95,438,57
accept,2.35,9807,2598
accepts,2.4,818,106
access,2,10940,1483
acclaim,2.65,266,22
acclaimed,3,300,20
acclaims,2.7,4,2
acclo,2.9,0,0
accord,2.45,1159,77
accords,2.5,253,8
accost,2.35,21,3
accosts,2.45,3,1
account,2.6,15891,2253
accounts,2.6,7249,521
accrete,2.55,8,0
accretes,2.6,4,0
accrieve,2.95,0,0
accrieved,3.1,0,0
accrond,2.9,0,0
accrue,2.6,200,4
accrued,2.55,266,12
accrues,2.6,44,1
accubes,2.5,0,0
