country,gdp
Luxembourg,105863
Switzerland,80637
Macau,77111
Norway,75389
Iceland,70248
Ireland,68710
Qatar,61024
United States,59792
Singapore,57713
Denmark,56630
Australia,55692
Sweden,52925
Netherlands,48555
San Marino,47595
Austria,47347
Hong Kong,46080
Finland,45927
Canada,45094
Germany,44769
Belgium,43488
New Zealand,41572
Israel,40272
France,39932
United Kingdom,39800
Japan,38448
United Arab Emirates,37732
Italy,31996
Bahamas,31660
Puerto Rico,31581
South Korea,29938
Spain,28358
Brunei,28278
Kuwait,27393
Malta,27326
Cyprus,25380
Bahrain,24325
Taiwan,24292
Slovenia,23654
Portugal,21158
Saudi Arabia,21096
Czech Republic,20401
Estonia,19735
Greece,18637
Barbados,17757
Slovakia,17655
Saint Kitts and Nevis,17397
Oman,17128
Uruguay,16941
Lithuania,16730
Antigua and Barbuda,16702
Trinidad and Tobago,16637
Palau,15980
Seychelles,15859
Latvia,15550
Panama,15089
Chile,15067
Equatorial Guinea,14817
Argentina,14462
Hungary,14209
Poland,13821
Croatia,13271
Maldives,12527
Lebanon,12013
Costa Rica,11728
Russia,10955
Romania,10785
World,10728
Turkey,10537
Mauritius,10504
Grenada,10405
Brazil,9895
Malaysia,9755
Saint Lucia,9606
Mexico,9318
Kazakhstan,8762
China,8643
Nauru,8574
Bulgaria,8077
Dominica,7879
Montenegro,7678
Botswana,7584
Dominican Republic,7477
Gabon,7373
Saint Vincent and the Grenadines,7124
Venezuela,6890
Peru,6731
Turkmenistan,6642
Thailand,6590
Colombia,6379
Ecuador,6216
South Africa,6179
Serbia,5901
Suriname,5869
Belarus,5727
Paraguay,5600
Namibia,5589
Fiji,5527
Macedonia,5474
Iran,5289
Jamaica,5193
Bosnia and Herzegovina,5180
Iraq,4950
Belize,4806
Libya,4739
Guyana,4578
Albania,4544
Tonga,4520
Guatemala,4469
Angola,4465
Samoa,4258
Azerbaijan,4140
Jordan,4135
Georgia,4085
Sri Lanka,4073
Algeria,4033
Kosovo,3944
Swaziland,3915
El Salvador,3894
Indonesia,3876
Armenia,3861
Mongolia,3640
Tuvalu,3638
Marshall Islands,3625
Tunisia,3496
Bolivia,3353
Cape Verde,3238
Micronesia,3200
Morocco,3151
Vanuatu,3094
Philippines,2976
Bhutan,2903
Papua New Guinea,2861
Honduras,2766
Ukraine,2583
Laos,2542
Egypt,2501
Vietnam,2354
Moldova,2280
Nicaragua,2207
East Timor,2104
Solomon Islands,2081
Nigeria,1994
Djibouti,1989
India,1983
Republic of the Congo,1958
São Tomé and Príncipe,1785
Kiribati,1721
Kenya,1702
Ghana,1663
Côte d'Ivoire,1617
Bangladesh,1602
Pakistan,1541
Uzbekistan,1491
Zambia,1480
Sudan,1428
Lesotho,1425
Cameroon,1401
Cambodia,1390
Mauritania,1318
Myanmar,1264
Zimbabwe,1176
Kyrgyzstan,1144
Senegal,1038
Tanzania,1034
Eritrea,980
Ethiopia,873
Nepal,834
Benin,830
Tajikistan,824
Mali,811
Chad,810
Guinea-Bissau,794
Comoros,788
Haiti,784
Rwanda,772
Guinea,749
Liberia,729
Uganda,699
Burkina Faso,664
Togo,611
Afghanistan,588
Yemen,551
Sierra Leone,491
"Gambia, The",480
Democratic Republic of the Congo,478
Madagascar,448
Niger,440
Mozambique,429
Central African Republic,387
Malawi,324
Burundi,312
South Sudan,228
