subjectid,gender,height,height_selfreport,weight,weight_selfreport,age,race
10027,Male,177.6,180.34,81.5,81.66969147005445,41,1
10032,Male,170.2,172.72,72.6,72.59528130671505,35,1
10033,Male,173.5,172.72,92.9,93.01270417422867,42,2
10092,Male,165.5,167.64000000000001,79.4,79.4010889292196,31,1
10093,Male,191.4,195.58,94.6,96.64246823956442,21,2
10115,Male,172,175.26,80.2,79.4010889292196,39,1
10117,Male,181,182.88,116.2,113.43012704174228,32,2
10237,Male,185,187.96,95.4,95.73502722323049,23,1
10242,Male,177.7,177.8,99.5,99.8185117967332,36,1
10244,Male,181.1,182.88,70.2,72.59528130671505,23,1
10246,Male,178,177.8,88.2,88.47549909255898,32,1
10260,Male,173.3,175.26,70.1,70.32667876588022,28,1
10265,Male,181.4,182.88,103.7,104.3557168784029,36,2
10272,Male,186.1,190.5,111.6,113.43012704174228,26,1
10286,Male,170.9,172.72,89.6,90.74410163339383,22,1
10293,Male,174,175.26,92.4,88.92921960072594,38,2
10303,Male,169.4,170.18,77.9,77.13248638838475,26,1
10304,Male,176.6,177.8,96.9,97.54990925589836,34,1
10305,Male,174.8,177.8,76,75.77132486388385,31,1
10310,Male,179.4,177.8,90.8,91.65154264972776,32,1
10312,Male,178,180.34,71.4,74.8638838475499,28,1
10319,Male,168,167.64000000000001,74.6,73.95644283121597,24,3
10338,Male,165.3,167.64000000000001,79.2,79.4010889292196,23,1
10339,Male,195.9,200.66,91.5,97.54990925589836,26,2
10340,Male,175.5,177.8,96.5,96.18874773139746,33,1
10341,Male,163,162.56,67.5,61.25226860254083,32,3
10349,Male,182.5,185.42000000000002,107.3,104.3557168784029,30,1
10354,Male,179.5,180.34,79.3,79.85480943738656,36,1
10358,Male,174.5,175.26,78.2,80.7622504537205,25,3
10361,Male,181.8,185.42000000000002,88.2,90.74410163339383,33,1
10367,Male,188.1,190.5,71.5,76.22504537205081,21,1
10368,Male,176,180.34,94.7,93.01270417422867,47,3
10371,Male,167.5,165.1,66.5,68.05807622504537,37,3
10385,Male,185.2,187.96,87.9,89.83666061705988,27,1
10389,Male,178.5,180.34,67.5,68.51179673321234,20,1
10404,Male,179.1,180.34,88.4,88.02177858439201,30,1
10406,Male,168.5,172.72,69.5,68.05807622504537,20,1
10419,Male,185,187.96,121.8,124.77313974591651,30,1
10422,Male,173.7,172.72,71.9,77.13248638838475,30,2
