spelling,participant,rt,old20,nletters,freq
encode,4,470,2.2,6,93
encode,46,599,2.2,6,93
encode,78,403,2.2,6,93
encode,72,975,2.2,6,93
encode,32,504,2.2,6,93
encode,52,588,2.2,6,93
encode,68,418,2.2,6,93
encode,10,718,2.2,6,93
encode,54,742,2.2,6,93
encode,6,776,2.2,6,93
encode,24,474,2.2,6,93
outlet,5,717,1.85,6,585
outlet,17,425,1.85,6,585
outlet,3,512,1.85,6,585
outlet,65,821,1.85,6,585
outlet,105,1097,1.85,6,585
outlet,51,759,1.85,6,585
outlet,103,470,1.85,6,585
outlet,11,801,1.85,6,585
outlet,75,NA,1.85,6,585
outlet,19,594,1.85,6,585
outlet,9,634,1.85,6,585
comb,73,707,1.5,4,422
comb,37,612,1.5,4,422
comb,9,690,1.5,4,422
comb,51,851,1.5,4,422
comb,11,840,1.5,4,422
comb,97,495,1.5,4,422
comb,89,509,1.5,4,422
comb,45,619,1.5,4,422
comb,77,460,1.5,4,422
comb,63,534,1.5,4,422
comb,15,568,1.5,4,422
bye,79,488,1.45,3,1765
bye,89,581,1.45,3,1765
bye,1,454,1.45,3,1765
bye,41,423,1.45,3,1765
bye,101,576,1.45,3,1765
bye,15,521,1.45,3,1765
bye,65,759,1.45,3,1765
bye,67,661,1.45,3,1765
bye,31,543,1.45,3,1765
bye,27,437,1.45,3,1765
bye,77,449,1.45,3,1765
bye,75,759,1.45,3,1765
bye,71,514,1.45,3,1765
builds,54,575,1.9,6,577
builds,34,490,1.9,6,577
builds,64,473,1.9,6,577
builds,94,550,1.9,6,577
builds,66,841,1.9,6,577
builds,100,431,1.9,6,577
builds,98,548,1.9,6,577
builds,50,467,1.9,6,577
builds,72,462,1.9,6,577
builds,8,510,1.9,6,577
builds,16,503,1.9,6,577
builds,68,378,1.9,6,577
chickens,67,507,2.35,8,488
chickens,11,397,2.35,8,488
chickens,13,545,2.35,8,488
chickens,1,493,2.35,8,488
chickens,9,584,2.35,8,488
chickens,45,491,2.35,8,488
chickens,81,489,2.35,8,488
chickens,29,472,2.35,8,488
chickens,75,716,2.35,8,488
chickens,5,473,2.35,8,488
chickens,55,628,2.35,8,488
chickens,101,593,2.35,8,488
wow,41,524,1.15,3,487
wow,63,502,1.15,3,487
wow,37,485,1.15,3,487
wow,21,551,1.15,3,487
wow,5,350,1.15,3,487
wow,101,419,1.15,3,487
wow,17,407,1.15,3,487
wow,1,583,1.15,3,487
wow,73,791,1.15,3,487
wow,71,477,1.15,3,487
wow,77,394,1.15,3,487
outhouse,42,644,2.45,8,58
outhouse,84,446,2.45,8,58
outhouse,34,546,2.45,8,58
outhouse,88,1416,2.45,8,58
outhouse,82,664,2.45,8,58
outhouse,16,556,2.45,8,58
outhouse,74,977,2.45,8,58
outhouse,54,1334,2.45,8,58
outhouse,100,538,2.45,8,58
outhouse,22,827,2.45,8,58
outhouse,66,780,2.45,8,58
defect,42,837,1.75,6,757
defect,2,460,1.75,6,757
defect,88,710,1.75,6,757
