pupil,school,minority,sex,ses,mathach
p1,s1224,No,Female,-1.528,5.876
p2,s1224,No,Female,-0.588,19.708
p3,s1224,No,Male,-0.528,20.349
p4,s1224,No,Male,-0.668,8.781
p5,s1224,No,Male,-0.158,17.898
p6,s1224,No,Male,0.022,4.583
p7,s1224,No,Female,-0.618,-2.832
p8,s1224,No,Male,-0.998,0.523
p9,s1224,No,Female,-0.888,1.527
p10,s1224,No,Male,-0.458,21.521
p11,s1224,No,Female,-1.448,9.475
p12,s1224,No,Female,-0.658,16.057
p13,s1224,No,Male,-0.468,21.178
p14,s1224,No,Female,-0.988,20.178
p15,s1224,No,Male,0.332,20.349
p16,s1224,No,Female,-0.678,20.508
p17,s1224,No,Male,-0.298,19.338
p18,s1224,Yes,Male,-1.528,4.145
p19,s1224,No,Female,0.042,2.927
p20,s1224,No,Male,-0.078,16.405
p21,s1224,No,Female,0.062,13.653
p22,s1224,No,Female,-0.128,6.558
p23,s1224,No,Female,0.472,9.653
p24,s1224,No,Male,-0.468,3.154
p25,s1224,Yes,Female,-1.248,4.753
p26,s1224,No,Male,-0.628,21.721
p27,s1224,No,Female,0.832,5.166
p28,s1224,No,Female,-0.568,6.399
p29,s1224,No,Female,-0.258,6.821
p30,s1224,No,Female,-0.138,9.255
p31,s1224,No,Female,-0.478,3.745
p32,s1224,No,Female,-0.948,0.858
p33,s1224,No,Female,0.282,11.542
p34,s1224,No,Female,-0.118,13.255
p35,s1224,No,Male,-0.878,10.557
p36,s1224,No,Male,-0.938,0.868
p37,s1224,No,Male,-0.548,8.296
p38,s1224,Yes,Male,0.142,-1.688
p39,s1224,No,Female,0.972,2.059
p40,s1224,No,Male,0.372,6.714
p41,s1224,Yes,Male,-1.658,0.122
p42,s1224,No,Female,-1.068,2.381
p43,s1224,No,Female,-0.248,16.336
p44,s1224,No,Female,-1.398,6.134
p45,s1224,No,Female,0.752,23.584
p46,s1224,No,Female,0.012,14.053
p47,s1224,No,Female,-0.418,2.183
p48,s1288,No,Female,-0.788,7.857
p49,s1288,Yes,Male,-0.328,10.171
p50,s1288,No,Male,0.472,15.699
p51,s1288,No,Female,0.352,22.919
p52,s1288,Yes,Female,-1.468,10.664
p53,s1288,No,Female,0.202,13.543
p54,s1288,No,Male,-0.518,18.207
p55,s1288,Yes,Male,-0.158,5.552
p56,s1288,No,Male,0.042,7.416
p57,s1288,No,Male,0.682,18.792
p58,s1288,No,Male,1.262,1.575
p59,s1288,No,Female,0.152,3.534
p60,s1288,No,Female,-0.678,20.173
p61,s1288,No,Female,0.332,10.772
p62,s1288,No,Female,-0.728,2.619
p63,s1288,No,Female,1.262,21.3
p64,s1288,No,Male,0.612,19.527
p65,s1288,No,Female,0.692,18.402
p66,s1288,No,Female,1.082,20.69
p67,s1288,No,Male,0.222,21.437
p68,s1288,No,Male,0.032,7.519
p69,s1288,No,Male,-0.118,18.397
p70,s1288,No,Male,-0.488,4.617
p71,s1288,No,Male,0.322,23.578
p72,s1288,No,Male,0.592,12.81
p73,s1296,Yes,Female,-0.148,12.668
p74,s1296,Yes,Male,-0.858,0.781
p75,s1296,Yes,Female,-1.568,4.968
p76,s1296,Yes,Male,-0.898,23.172
p77,s1296,Yes,Female,-0.288,8.278
p78,s1296,Yes,Female,-1.088,6.244
p79,s1296,Yes,Female,-1.388,1.326
p80,s1296,Yes,Male,-1.148,2.359
p81,s1296,Yes,Female,-0.558,6.757
p82,s1296,Yes,Female,-0.698,6.251
p83,s1296,Yes,Female,0.142,3.404
p84,s1296,Yes,Male,0.522,22.201
p85,s1296,Yes,Male,0.732,-1.353
p86,s1296,Yes,Female,-0.248,-0.014
p87,s1296,Yes,Female,0.322,5.216
p88,s1296,Yes,Female,0.052,3.587
p89,s1296,Yes,Female,-0.028,11.162
p90,s1296,Yes,Female,-0.898,5.982
p91,s1296,Yes,Male,-0.818,2.814
p92,s1296,Yes,Female,-1.408,7.272
p93,s1296,Yes,Male,-1.258,8.895
p94,s1296,Yes,Male,-0.608,8.773
p95,s1296,Yes,Female,1.242,12.176
p96,s1296,No,Male,-0.688,3.052
p97,s1296,Yes,Female,-0.828,6.834
p98,s1296,Yes,Female,-0.698,3.255
p99,s1296,Yes,Female,-0.498,6.355
p100,s1296,Yes,Male,-0.658,11.589
p101,s1296,Yes,Female,-0.778,8.08
p102,s1296,Yes,Female,-0.098,19.822
p103,s1296,Yes,Female,-1.028,14.239
p104,s1296,Yes,Female,-0.418,1.17
p105,s1296,Yes,Female,-0.408,-1.127
p106,s1296,Yes,Male,0.352,10.84
p107,s1296,Yes,Female,-1.628,6.778
p108,s1296,Yes,Female,-0.698,9.449
p109,s1296,Yes,Male,-0.168,5.995
p110,s1296,Yes,Female,-0.718,4.765
p111,s1296,Yes,Female,-1.008,14.399
p112,s1296,Yes,Male,-0.178,6.588
p113,s1296,Yes,Male,0.392,11.026
p114,s1296,Yes,Female,-0.358,7.095
p115,s1296,Yes,Male,-0.628,12.721
p116,s1296,Yes,Male,-0.038,5.52
p117,s1296,Yes,Female,0.972,7.353
p118,s1296,Yes,Female,0.252,7.095
p119,s1296,Yes,Female,0.332,9.999
p120,s1296,Yes,Male,-0.308,10.715
p121,s1308,No,Male,0.422,13.233
p122,s1308,No,Male,0.562,13.952
p123,s1308,Yes,Male,-0.058,13.757
p124,s1308,No,Male,0.952,13.97
p125,s1308,No,Male,0.622,23.434
p126,s1308,No,Male,0.832,9.162
p127,s1308,No,Male,1.512,23.818
p128,s1308,No,Male,0.622,15.998
p129,s1308,Yes,Male,0.332,16.039
p130,s1308,No,Male,0.442,24.993
p131,s1308,Yes,Male,0.582,15.657
p132,s1308,No,Male,1.102,16.258
p133,s1308,No,Male,0.892,10.546
p134,s1308,Yes,Male,0.802,17.615
p135,s1308,Yes,Male,-0.568,21.116
p136,s1308,Yes,Male,0.522,6.493
p137,s1308,Yes,Male,0.102,2.512
p138,s1308,Yes,Male,-0.348,22.393
p139,s1308,No,Male,0.552,21.488
p140,s1308,No,Male,0.682,22.676
p141,s1317,No,Female,0.882,12.862
p142,s1317,Yes,Female,0.932,8.961
p143,s1317,Yes,Female,-0.158,4.756
p144,s1317,Yes,Female,0.362,21.405
p145,s1317,No,Female,1.372,20.748
p146,s1317,Yes,Female,0.132,18.362
p147,s1317,No,Female,0.132,14.752
p148,s1317,Yes,Female,-0.008,11.29
p149,s1317,Yes,Female,-0.108,10.493
p150,s1317,Yes,Female,0.612,10.956
p151,s1317,Yes,Female,0.482,21.405
p152,s1317,No,Female,0.502,23.355
p153,s1317,Yes,Female,0.482,12.283
p154,s1317,Yes,Female,0.472,9.257
p155,s1317,No,Female,-0.578,11.502
p156,s1317,Yes,Female,1.152,20.039
p157,s1317,Yes,Female,-0.288,21.405
p158,s1317,Yes,Female,0.942,23.736
p159,s1317,Yes,Female,0.722,11.027
p160,s1317,Yes,Female,-0.108,17.203
p161,s1317,Yes,Female,1.462,10.661
p162,s1317,Yes,Female,-0.028,7.031
p163,s1317,No,Female,0.702,13.677
p164,s1317,Yes,Female,0.082,13.373
p165,s1317,Yes,Female,-0.108,10.121
p166,s1317,Yes,Female,0.322,10.394
p167,s1317,Yes,Female,0.302,6.973
p168,s1317,No,Female,-0.098,11.064
p169,s1317,Yes,Female,-0.848,11.531
p170,s1317,Yes,Female,-1.248,8.253
p171,s1317,Yes,Female,0.122,7.142
p172,s1317,Yes,Female,0.272,3.22
p173,s1317,No,Female,0.582,15.784
p174,s1317,Yes,Female,0.642,17.246
p175,s1317,Yes,Female,0.952,9.337
p176,s1317,Yes,Female,-0.258,15.555
p177,s1317,Yes,Female,0.492,8.382
p178,s1317,No,Female,0.992,11.621
p179,s1317,Yes,Female,0.832,4.81
p180,s1317,Yes,Female,-0.068,17.869
p181,s1317,Yes,Female,-0.088,8.057
p182,s1317,Yes,Female,0.972,11.794
p183,s1317,No,Female,0.542,18.939
p184,s1317,Yes,Female,0.132,20.261
p185,s1317,Yes,Female,-0.008,10.066
p186,s1317,No,Female,0.812,20.236
p187,s1317,No,Female,1.122,4.508
p188,s1317,No,Female,0.062,18.827
p189,s1358,Yes,Male,0.032,-1.347
p190,s1358,No,Female,-1.088,8.054
p191,s1358,No,Male,0.372,15.655
p192,s1358,No,Male,-0.568,11.648
p193,s1358,No,Male,-0.328,11.629
p194,s1358,No,Female,-0.018,18.687
p195,s1358,Yes,Male,-1.208,-0.827
p196,s1358,No,Male,-0.098,7.87
p197,s1358,No,Male,0.942,18.115
p198,s1358,No,Female,-1.408,3.792
p199,s1358,No,Male,0.122,11.03
p200,s1358,No,Female,0.362,7.564
p201,s1358,Yes,Female,-0.708,3.465
p202,s1358,No,Male,0.252,15.038
p203,s1358,No,Female,0.312,10.184
p204,s1358,No,Female,-0.678,2.933
p205,s1358,No,Male,-0.148,8.438
p206,s1358,No,Female,-0.168,7.519
p207,s1358,No,Male,1.092,18.735
p208,s1358,No,Female,0.232,10.19
p209,s1358,No,Male,0.422,16.294
p210,s1358,No,Male,1.282,10.65
p211,s1358,No,Male,-0.248,10.301
p212,s1358,No,Male,0.952,17.811
p213,s1358,No,Female,-0.038,14.646
p214,s1358,No,Female,-0.398,17.191
p215,s1358,No,Male,0.162,8.69
p216,s1358,No,Male,0.682,21.142
p217,s1358,No,Male,-0.668,16.499
p218,s1358,No,Male,-0.038,14.591
p219,s1374,No,Male,0.322,16.663
p220,s1374,Yes,Female,0.212,-2.155
p221,s1374,Yes,Female,0.682,0.085
p222,s1374,No,Female,-0.148,18.804
p223,s1374,Yes,Female,-0.468,2.409
