batch,m,n
1,0,20
2,0,20
3,0,20
4,0,20
5,0,20
6,0,20
7,0,20
8,0,19
9,0,19
10,0,19
11,0,19
12,0,18
13,0,18
14,0,17
15,1,20
16,1,20
17,1,20
18,1,20
19,1,19
20,1,19
21,1,18
22,1,18
23,3,27
24,2,25
25,2,24
26,2,23
27,2,20
28,2,20
29,2,20
30,2,20
31,2,20
32,2,20
33,1,10
34,5,49
35,2,19
36,5,46
37,2,17
38,7,49
39,7,47
40,3,20
41,3,20
42,2,13
43,9,48
44,10,50
45,4,20
46,4,20
47,4,20
48,4,20
49,4,20
50,4,20
51,4,20
52,10,48
53,4,19
54,4,19
55,4,19
56,5,22
57,11,46
58,12,49
59,5,20
60,5,20
61,6,23
62,5,19
63,6,22
64,6,20
65,6,20
66,6,20
67,16,52
68,15,46
69,15,47
70,9,24
71,4,14
