year,gender,nativeBorn,ageGroup,educGroup,vocab,age,educ
1978,female,yes,50-59,12 yrs,10,52,12
1978,female,yes,60+,<12 yrs,6,74,9
1978,male,yes,30-39,<12 yrs,4,35,10
1978,female,yes,50-59,12 yrs,9,50,12
1978,female,yes,40-49,12 yrs,6,41,12
1978,male,yes,18-29,12 yrs,6,19,12
1978,male,yes,18-29,12 yrs,4,19,12
1978,male,yes,50-59,12 yrs,7,59,12
1978,female,yes,40-49,16 yrs,8,49,16
1978,male,yes,18-29,12 yrs,3,21,12
1978,male,yes,40-49,12 yrs,7,44,12
1978,male,yes,60+,>16 yrs,6,81,17
1978,male,yes,40-49,>16 yrs,9,46,18
1978,female,yes,50-59,>16 yrs,8,52,18
1978,male,yes,50-59,<12 yrs,7,53,7
1978,male,no,18-29,12 yrs,1,24,12
1978,male,yes,40-49,13-15 yrs,6,43,14
1978,female,yes,18-29,16 yrs,10,25,16
1978,male,yes,30-39,12 yrs,9,35,12
1978,male,yes,40-49,13-15 yrs,10,43,15
1978,female,yes,60+,<12 yrs,3,73,10
1978,male,no,50-59,13-15 yrs,10,58,14
1978,female,yes,50-59,13-15 yrs,9,51,14
1978,male,yes,50-59,16 yrs,7,57,16
1978,male,yes,40-49,>16 yrs,9,44,19
1978,male,yes,60+,16 yrs,10,76,16
1978,female,no,30-39,16 yrs,10,33,16
1978,female,yes,30-39,12 yrs,4,39,12
1978,female,yes,18-29,12 yrs,4,19,12
1978,female,no,40-49,<12 yrs,4,40,11
1978,male,no,18-29,12 yrs,1,25,12
1978,female,yes,60+,<12 yrs,6,73,5
1978,male,yes,60+,<12 yrs,5,63,9
1978,female,yes,18-29,13-15 yrs,5,22,14
1978,female,yes,18-29,13-15 yrs,8,20,13
1978,female,no,60+,<12 yrs,2,74,3
1978,male,yes,30-39,13-15 yrs,6,31,15
1978,female,yes,30-39,13-15 yrs,6,35,13
1978,female,yes,18-29,12 yrs,7,26,12
1978,female,yes,50-59,12 yrs,7,50,12
1978,male,yes,40-49,>16 yrs,9,44,19
1978,female,yes,50-59,12 yrs,9,52,12
1978,male,yes,30-39,12 yrs,8,39,12
1978,female,no,30-39,12 yrs,7,30,12
