subj,Condition,Object,Time,timeBin,meanFix,sumFix,N
206,Function,Target,-1000,0,0,0,16
206,Function,Competitor,-1000,0,0,0,16
206,Function,Unrelated,-1000,0,0,0,16
206,Thematic,Target,-1000,0,0,0,16
206,Thematic,Competitor,-1000,0,0,0,16
206,Thematic,Unrelated,-1000,0,0.03125,1,16
206,Function,Target,-950,1,0,0,16
206,Function,Competitor,-950,1,0,0,16
206,Function,Unrelated,-950,1,0,0,16
206,Thematic,Target,-950,1,0,0,16
206,Thematic,Competitor,-950,1,0,0,16
206,Thematic,Unrelated,-950,1,0.03125,1,16
206,Function,Target,-900,2,0,0,16
206,Function,Competitor,-900,2,0,0,16
206,Function,Unrelated,-900,2,0,0,16
206,Thematic,Target,-900,2,0,0,16
206,Thematic,Competitor,-900,2,0,0,16
206,Thematic,Unrelated,-900,2,0.03125,1,16
206,Function,Target,-850,3,0,0,16
206,Function,Competitor,-850,3,0,0,16
206,Function,Unrelated,-850,3,0,0,16
206,Thematic,Target,-850,3,0,0,16
206,Thematic,Competitor,-850,3,0,0,16
206,Thematic,Unrelated,-850,3,0.03125,1,16
206,Function,Target,-800,4,0,0,16
206,Function,Competitor,-800,4,0,0,16
206,Function,Unrelated,-800,4,0.03125,1,16
206,Thematic,Target,-800,4,0,0,16
206,Thematic,Competitor,-800,4,0,0,16
206,Thematic,Unrelated,-800,4,0.0625,2,16
206,Function,Target,-750,5,0,0,16
206,Function,Competitor,-750,5,0.0625,1,16
206,Function,Unrelated,-750,5,0.09375,3,16
206,Thematic,Target,-750,5,0,0,16
206,Thematic,Competitor,-750,5,0.0625,1,16
206,Thematic,Unrelated,-750,5,0.09375,3,16
206,Function,Target,-700,6,0,0,16
206,Function,Competitor,-700,6,0.0625,1,16
206,Function,Unrelated,-700,6,0.15625,5,16
206,Thematic,Target,-700,6,0.0625,1,16
206,Thematic,Competitor,-700,6,0.125,2,16
206,Thematic,Unrelated,-700,6,0.15625,5,16
206,Function,Target,-650,7,0,0,16
206,Function,Competitor,-650,7,0.1875,3,16
206,Function,Unrelated,-650,7,0.28125,9,16
206,Thematic,Target,-650,7,0.0625,1,16
206,Thematic,Competitor,-650,7,0.25,4,16
206,Thematic,Unrelated,-650,7,0.21875,7,16
206,Function,Target,-600,8,0.0625,1,16
206,Function,Competitor,-600,8,0.1875,3,16
206,Function,Unrelated,-600,8,0.3125,10,16
206,Thematic,Target,-600,8,0.125,2,16
206,Thematic,Competitor,-600,8,0.25,4,16
206,Thematic,Unrelated,-600,8,0.21875,7,16
206,Function,Target,-550,9,0.125,2,16
206,Function,Competitor,-550,9,0.25,4,16
206,Function,Unrelated,-550,9,0.28125,9,16
206,Thematic,Target,-550,9,0.25,4,16
206,Thematic,Competitor,-550,9,0.1875,3,16
206,Thematic,Unrelated,-550,9,0.15625,5,16
206,Function,Target,-500,10,0.1875,3,16
206,Function,Competitor,-500,10,0.25,4,16
206,Function,Unrelated,-500,10,0.21875,7,16
206,Thematic,Target,-500,10,0.25,4,16
206,Thematic,Competitor,-500,10,0.25,4,16
206,Thematic,Unrelated,-500,10,0.09375,3,16
206,Function,Target,-450,11,0.25,4,16
206,Function,Competitor,-450,11,0.1875,3,16
206,Function,Unrelated,-450,11,0.25,8,16
206,Thematic,Target,-450,11,0.375,6,16
206,Thematic,Competitor,-450,11,0.25,4,16
206,Thematic,Unrelated,-450,11,0.0625,2,16
206,Function,Target,-400,12,0.25,4,16
206,Function,Competitor,-400,12,0.125,2,16
206,Function,Unrelated,-400,12,0.28125,9,16
206,Thematic,Target,-400,12,0.4375,7,16
206,Thematic,Competitor,-400,12,0.25,4,16
206,Thematic,Unrelated,-400,12,0.03125,1,16
206,Function,Target,-350,13,0.25,4,16
206,Function,Competitor,-350,13,0.125,2,16
206,Function,Unrelated,-350,13,0.28125,9,16
206,Thematic,Target,-350,13,0.5,8,16
206,Thematic,Competitor,-350,13,0.25,4,16
206,Thematic,Unrelated,-350,13,0.03125,1,16
206,Function,Target,-300,14,0.25,4,16
206,Function,Competitor,-300,14,0.0625,1,16
206,Function,Unrelated,-300,14,0.25,8,16
206,Thematic,Target,-300,14,0.5,8,16
206,Thematic,Competitor,-300,14,0.125,2,16
206,Thematic,Unrelated,-300,14,0.03125,1,16
206,Function,Target,-250,15,0.1875,3,16
206,Function,Competitor,-250,15,0.0625,1,16
206,Function,Unrelated,-250,15,0.25,8,16
206,Thematic,Target,-250,15,0.4375,7,16
206,Thematic,Competitor,-250,15,0.25,4,16
206,Thematic,Unrelated,-250,15,0.03125,1,16
206,Function,Target,-200,16,0.3125,5,16
206,Function,Competitor,-200,16,0,0,16
206,Function,Unrelated,-200,16,0.1875,6,16
206,Thematic,Target,-200,16,0.4375,7,16
206,Thematic,Competitor,-200,16,0.25,4,16
206,Thematic,Unrelated,-200,16,0.0625,2,16
206,Function,Target,-150,17,0.375,6,16
206,Function,Competitor,-150,17,0,0,16
206,Function,Unrelated,-150,17,0.21875,7,16
206,Thematic,Target,-150,17,0.4375,7,16
206,Thematic,Competitor,-150,17,0.25,4,16
206,Thematic,Unrelated,-150,17,0.0625,2,16
206,Function,Target,-100,18,0.3125,5,16
206,Function,Competitor,-100,18,0,0,16
206,Function,Unrelated,-100,18,0.21875,7,16
206,Thematic,Target,-100,18,0.375,6,16
206,Thematic,Competitor,-100,18,0.1875,3,16
206,Thematic,Unrelated,-100,18,0.09375,3,16
206,Function,Target,-50,19,0.3125,5,16
206,Function,Competitor,-50,19,0,0,16
206,Function,Unrelated,-50,19,0.21875,7,16
206,Thematic,Target,-50,19,0.375,6,16
206,Thematic,Competitor,-50,19,0.1875,3,16
206,Thematic,Unrelated,-50,19,0.09375,3,16
206,Function,Target,0,20,0.1875,3,16
206,Function,Competitor,0,20,0,0,16
206,Function,Unrelated,0,20,0.21875,7,16
